image_rel,session,group,set_label,category,human_reject,assign_shift_px,assign_corr,drift_info_px,contrast_first,spine_drop,unc_dist_px,drift_df_px,drift_local_px,z_match_corr,z_neighbor_corr,bead_fraction,bright_cv,low_assign_corr,low_contrast,low_spine_drop,low_z_match,low_z_neighbor
keep/20260909_cnt_2_pos1__highmag_8_set1.png,20260909,cnt_2_pos1__highmag_8_,1.0,9,False,0.7905694150420949,0.5137730077584237,8.54400374531753,3.0,0.5555555555555556,1.909999966621399,8.634958019585271,8.835298523536146,0.8309715373993674,0.9709608259011284,0.03015075376884422,0.9137259500019509,-0.5137730077584237,-3.0,-0.5555555555555556,-0.8309715373993674,-0.9709608259011284
keep/20260909_cnt_2_pos1__highmag_8_set2.png,20260909,cnt_2_pos1__highmag_8_,2.0,9,False,2.3048861143232218,0.3767685444535079,16.278820596099706,1.0,2.0,0.0,16.57181341917655,13.439680055715613,0.19558449960831892,0.9727084264257628,0.04439592430858806,1.244589027414244,-0.3767685444535079,-1.0,-2.0,-0.19558449960831892,-0.9727084264257628
keep/20260909_cnt_3_pos1__highmag_1_set0.png,20260909,cnt_3_pos1__highmag_1_,0.0,9,False,1.8200274723201293,0.7519324324092169,6.708203932499369,2.0,0.5,0.0,6.373774391990981,7.754031209635412,0.8065161938252458,0.9460014301856987,0.04032258064516129,0.6860308461974943,-0.7519324324092169,-2.0,-0.5,-0.8065161938252458,-0.9460014301856987
keep/20260909_cnt_3_pos1__highmag_1_set1.png,20260909,cnt_3_pos1__highmag_1_,1.0,9,False,1.25,0.3526020478022484,7.211102550927978,1.0,1.0,0.0,7.558108228915487,7.652613932506983,0.5678231181816257,0.9115386426384735,0.14171974522292993,0.7093471889128007,-0.3526020478022484,-1.0,-1.0,-0.5678231181816257,-0.9115386426384735
keep/20260909_cnt_3_pos1__highmag_1_set2.png,20260909,cnt_3_pos1__highmag_1_,2.0,9,False,2.1505813167606567,0.6754765683563739,8.48528137423857,0.75,0.4444444444444444,0.9549999833106996,8.200609733428363,10.25,0.8538568855459433,0.9587588830615117,0.04567143830947512,0.7054158767592195,-0.6754765683563739,-0.75,-0.4444444444444444,-0.8538568855459433,-0.9587588830615117
keep/20260909_cnt_3_pos1__highmag_2_set1.png,20260909,cnt_3_pos1__highmag_2_,1.0,9,False,1.4577379737113252,0.4946159505700244,7.071067811865476,1.0,1.25,0.9549999833106996,7.071067811865476,8.707037383633999,0.5084522469483562,0.9621870694693642,0.027008310249307478,1.1446343098663738,-0.4946159505700244,-1.0,-1.25,-0.5084522469483562,-0.9621870694693642
keep/20260909_cnt_3_pos1__highmag_3_set2.png,20260909,cnt_3_pos1__highmag_3_,2.0,9,False,1.6770509831248424,0.630594455621633,12.36931687685298,1.0,1.0,0.0,12.673791855636576,15.002083188677496,0.5947294528058661,0.8695422783482818,0.00574300071787509,0.8934747599891277,-0.630594455621633,-1.0,-1.0,-0.5947294528058661,-0.8695422783482818
keep/20260909_cnt_3_pos1__highmag_4_set0.png,20260909,cnt_3_pos1__highmag_4_,0.0,9,False,2.9154759474226504,0.3772400992224246,11.31370849898476,2.0,0.5,0.9549999833106996,11.335784048754634,10.982941318244398,0.7904395653736298,0.9269249756209528,0.09105560032232071,0.9505215548387004,-0.3772400992224246,-2.0,-0.5,-0.7904395653736298,-0.9269249756209528
keep/20260909_cnt_3_pos1__highmag_4_set1.png,20260909,cnt_3_pos1__highmag_4_,1.0,9,False,2.0155644370746373,0.6314834828640908,8.602325267042627,4.0,0.625,0.0,8.75,8.533024082938006,0.7587958081803331,0.9398805329982659,0.09185082872928177,0.6602460373191437,-0.6314834828640908,-4.0,-0.625,-0.7587958081803331,-0.9398805329982659
keep/20260909_cnt_3_pos1__highmag_4_set3.png,20260909,cnt_3_pos1__highmag_4_,3.0,9,False,0.5,0.5402998359463803,14.0,1.5,0.8888888888888888,2.738600015640259,14.252192813739224,6.73145600891813,0.6441714928432054,0.9424370544494755,0.11315789473684211,0.7258330410755048,-0.5402998359463803,-1.5,-0.8888888888888888,-0.6441714928432054,-0.9424370544494755
